method,dataset,config,relation,n,no_ctx,compressed,fallback_full,best,cost_comp,cost_full
gcm,squad_v2,N16_K64,cross_task_cross_domain,96,0.26,0.24,0.146,0.271,152,1112
gcm,squad_v2,N24_K128,overall,384,0.172,0.191,0.233,0.313,176,766
gcm,squad_v2,N24_K128,in_task,96,0.134,0.127,0.367,0.378,157,207
gcm,squad_v2,N24_K128,cross_task_in_domain,192,0.148,0.189,0.209,0.282,166,873
gcm,squad_v2,N24_K128,cross_task_cross_domain,96,0.26,0.26,0.146,0.312,216,1112
gcm,squad_v2,N24_K64,overall,384,0.172,0.176,0.233,0.291,112,766
gcm,squad_v2,N24_K64,in_task,96,0.134,0.136,0.367,0.38,93,207
gcm,squad_v2,N24_K64,cross_task_in_domain,192,0.148,0.18,0.209,0.272,102,873
gcm,squad_v2,N24_K64,cross_task_cross_domain,96,0.26,0.208,0.146,0.24,152,1112
gcm,squad_v2,N8_K128,overall,384,0.172,0.178,0.233,0.298,176,766
gcm,squad_v2,N8_K128,in_task,96,0.134,0.128,0.367,0.381,157,207
gcm,squad_v2,N8_K128,cross_task_in_domain,192,0.148,0.178,0.209,0.27,166,873
gcm,squad_v2,N8_K128,cross_task_cross_domain,96,0.26,0.229,0.146,0.271,216,1112
gcm,squad_v2,N8_K64,overall,384,0.172,0.196,0.233,0.31,112,766
gcm,squad_v2,N8_K64,in_task,96,0.134,0.131,0.367,0.377,93,207
gcm,squad_v2,N8_K64,cross_task_in_domain,192,0.148,0.186,0.209,0.275,102,873
gcm,squad_v2,N8_K64,cross_task_cross_domain,96,0.26,0.281,0.146,0.312,152,1112
gcm,trivia_qa,N12_K128,overall,384,0.172,0.193,0.233,0.319,176,766
gcm,trivia_qa,N12_K128,in_task,96,0.177,0.265,0.218,0.338,166,1017
gcm,trivia_qa,N12_K128,cross_task_in_domain,192,0.126,0.134,0.284,0.334,162,468
gcm,trivia_qa,N12_K128,cross_task_cross_domain,96,0.26,0.24,0.146,0.271,216,1112
gcm,trivia_qa,N12_K64,overall,384,0.172,0.172,0.233,0.296,112,766
gcm,trivia_qa,N12_K64,in_task,96,0.177,0.236,0.218,0.295,102,1017
gcm,trivia_qa,N12_K64,cross_task_in_domain,192,0.126,0.116,0.284,0.309,98,468
gcm,trivia_qa,N12_K64,cross_task_cross_domain,96,0.26,0.219,0.146,0.271,152,1112
gcm,trivia_qa,N16_K128,overall,384,0.172,0.206,0.233,0.326,176,766
gcm,trivia_qa,N16_K128,in_task,96,0.177,0.273,0.218,0.343,166,1017
gcm,trivia_qa,N16_K128,cross_task_in_domain,192,0.126,0.151,0.284,0.335,162,468
gcm,trivia_qa,N16_K128,cross_task_cross_domain,96,0.26,0.25,0.146,0.292,216,1112
gcm,trivia_qa,N16_K64,overall,384,0.173,0.156,0.232,0.293,112,766
gcm,trivia_qa,N16_K64,in_task,96,0.179,0.186,0.216,0.27,102,1017
gcm,trivia_qa,N16_K64,cross_task_in_domain,192,0.125,0.125,0.283,0.32,98,468
gcm,trivia_qa,N16_K64,cross_task_cross_domain,96,0.26,0.188,0.146,0.26,152,1112
gcm,trivia_qa,N16_K64_dec1,overall,384,0.172,0.179,0.233,0.309,112,766
gcm,trivia_qa,N16_K64_dec1,in_task,96,0.177,0.218,0.218,0.304,102,1017
gcm,trivia_qa,N16_K64_dec1,cross_task_in_domain,192,0.126,0.13,0.284,0.326,98,468
gcm,trivia_qa,N16_K64_dec1,cross_task_cross_domain,96,0.26,0.24,0.146,0.281,152,1112
gcm,trivia_qa,N16_K64_dec4,overall,384,0.172,0.182,0.233,0.303,112,766
gcm,trivia_qa,N16_K64_dec4,in_task,96,0.177,0.268,0.218,0.325,102,1017
gcm,trivia_qa,N16_K64_dec4,cross_task_in_domain,192,0.126,0.131,0.284,0.318,98,468
gcm,trivia_qa,N16_K64_dec4,cross_task_cross_domain,96,0.26,0.198,0.146,0.25,152,1112
gcm,trivia_qa,N16_K64_lr0_ld0,overall,384,0.172,0.166,0.233,0.301,112,766
gcm,trivia_qa,N16_K64_lr0_ld0,in_task,96,0.177,0.194,0.218,0.276,102,1017
gcm,trivia_qa,N16_K64_lr0_ld0,cross_task_in_domain,192,0.126,0.104,0.284,0.313,98,468
gcm,trivia_qa,N16_K64_lr0_ld0,cross_task_cross_domain,96,0.26,0.26,0.146,0.302,152,1112
gcm,trivia_qa,N16_K64_lr0_ld0.05,overall,384,0.173,0.15,0.232,0.279,112,766
gcm,trivia_qa,N16_K64_lr0_ld0.05,in_task,96,0.179,0.176,0.216,0.271,102,1017
gcm,trivia_qa,N16_K64_lr0_ld0.05,cross_task_in_domain,192,0.125,0.114,0.283,0.314,98,468
gcm,trivia_qa,N16_K64_lr0_ld0.05,cross_task_cross_domain,96,0.26,0.198,0.146,0.219,152,1112
gcm,trivia_qa,N16_K64_lr1_ld0,overall,384,0.172,0.152,0.233,0.298,112,766
gcm,trivia_qa,N16_K64_lr1_ld0,in_task,96,0.177,0.177,0.218,0.265,102,1017
gcm,trivia_qa,N16_K64_lr1_ld0,cross_task_in_domain,192,0.126,0.106,0.284,0.313,98,468
gcm,trivia_qa,N16_K64_lr1_ld0,cross_task_cross_domain,96,0.26,0.219,0.146,0.302,152,1112
gcm,trivia_qa,N24_K128,overall,384,0.172,0.154,0.233,0.293,176,766
gcm,trivia_qa,N24_K128,in_task,96,0.177,0.211,0.218,0.301,166,1017
gcm,trivia_qa,N24_K128,cross_task_in_domain,192,0.126,0.108,0.284,0.315,162,468
gcm,trivia_qa,N24_K128,cross_task_cross_domain,96,0.26,0.188,0.146,0.24,216,1112
gcm,trivia_qa,N24_K64,overall,384,0.172,0.215,0.233,0.34,112,766
gcm,trivia_qa,N24_K64,in_task,96,0.177,0.293,0.218,0.372,102,1017
gcm,trivia_qa,N24_K64,cross_task_in_domain,192,0.126,0.142,0.284,0.327,98,468
gcm,trivia_qa,N24_K64,cross_task_cross_domain,96,0.26,0.281,0.146,0.333,152,1112
gcm,trivia_qa,N8_K128,overall,384,0.172,0.171,0.233,0.297,176,766
gcm,trivia_qa,N8_K128,in_task,96,0.177,0.204,0.218,0.291,166,1017
gcm,trivia_qa,N8_K128,cross_task_in_domain,192,0.126,0.12,0.284,0.318,162,468
gcm,trivia_qa,N8_K128,cross_task_cross_domain,96,0.26,0.24,0.146,0.26,216,1112
gcm,trivia_qa,N8_K64,overall,384,0.172,0.153,0.233,0.294,112,766
gcm,trivia_qa,N8_K64,in_task,96,0.177,0.182,0.218,0.292,102,1017
gcm,trivia_qa,N8_K64,cross_task_in_domain,192,0.126,0.121,0.284,0.312,98,468
gcm,trivia_qa,N8_K64,cross_task_cross_domain,96,0.26,0.188,0.146,0.26,152,1112
gist,hotpot_qa,s1500_lr0.0001_K128,overall,384,0.171,0.156,0.232,0.302,176,766
gist,hotpot_qa,s1500_lr0.0001_K128,in_task,96,0.118,0.144,0.198,0.29,166,729
gist,hotpot_qa,s1500_lr0.0001_K128,cross_task_in_domain,192,0.153,0.125,0.292,0.314,161,612
